,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6197727,10766689,HZ531724,11/21/2016 12:49:00 PM,020XX N AVERS AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,2525,25.0,26.0,22.0,11,1150383.0,1913308.0,2016,12/01/2016 03:49:31 PM,41.918021095,-87.722913593,"(41.918021095, -87.722913593)"
2919296,9236246,HW383302,07/28/2013 07:30:00 PM,006XX N WELLS ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,RESTAURANT,False,False,1831,18.0,42.0,8.0,11,1174615.0,1904828.0,2013,02/04/2016 06:33:39 AM,41.894243758,-87.634138304,"(41.894243758, -87.634138304)"
4036895,10411396,HZ148233,02/11/2016 03:50:00 PM,001XX E SOUTH WATER ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,114,1.0,42.0,32.0,14,1177546.0,1902147.0,2016,02/18/2016 03:48:58 PM,41.886820914,-87.623455233,"(41.886820914, -87.623455233)"
3546811,10391978,HZ128941,01/25/2016 11:00:00 PM,073XX N HOYNE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2424,24.0,49.0,1.0,14,1160973.0,1948868.0,2016,02/01/2016 04:05:16 PM,42.015385991,-87.683013622,"(42.015385991, -87.683013622)"
3350088,10051343,HY240400,04/29/2015 12:30:00 PM,033XX W POTOMAC AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),False,True,1422,14.0,26.0,23.0,08B,1153831.0,1908451.0,2015,08/17/2015 03:03:40 PM,41.904625014,-87.710374988,"(41.904625014, -87.710374988)"
6210327,10781951,HZ549109,12/12/2016 03:25:00 PM,007XX W 77TH ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,False,False,621,6.0,17.0,71.0,04B,1172873.0,1853815.0,2016,12/19/2016 03:54:45 PM,41.754298169,-87.64204354,"(41.754298169, -87.64204354)"
2640524,8790403,HV463949,09/06/2012 03:00:00 PM,045XX S WOOD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,924,9.0,20.0,61.0,08B,1165110.0,1874572.0,2012,02/04/2016 06:33:39 AM,41.811425687,-87.669905596,"(41.811425687, -87.669905596)"
3283735,9853989,HX502821,11/11/2014 06:00:00 AM,004XX N CLARK ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,False,False,1831,18.0,42.0,8.0,04B,1175466.0,1903075.0,2014,02/04/2016 06:33:39 AM,41.88941436,-87.631065571,"(41.88941436, -87.631065571)"
2932957,9259521,HW404655,08/12/2013 03:10:00 PM,052XX W NORTH AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,2532,25.0,37.0,25.0,06,1140988.0,1910130.0,2013,02/04/2016 06:33:39 AM,41.909478624,-87.757510145,"(41.909478624, -87.757510145)"
6116567,10635518,HZ387755,08/11/2016 01:35:00 PM,019XX E 73RD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,CONVENIENCE STORE,False,False,333,3.0,5.0,43.0,14,1190650.0,1856956.0,2016,08/18/2016 03:53:14 PM,41.7625069,-87.576796117,"(41.7625069, -87.576796117)"
2966071,9312615,HW456891,09/18/2013 12:30:00 PM,054XX S ARCHER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,814,8.0,23.0,56.0,14,1144782.0,1869684.0,2013,02/04/2016 06:33:39 AM,41.798418684,-87.744591213,"(41.798418684, -87.744591213)"
6169403,10720176,HZ478803,10/17/2016 10:30:00 PM,082XX S SANGAMON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,False,False,613,6.0,21.0,71.0,14,1171409.0,1850281.0,2016,10/24/2016 04:01:11 PM,41.744632564,-87.647511853,"(41.744632564, -87.647511853)"
3037697,9430357,HW566859,12/11/2013 01:00:00 PM,113XX S CARPENTER ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,True,False,2234,22.0,34.0,75.0,18,1171352.0,1829608.0,2013,02/04/2016 06:33:39 AM,41.687904046,-87.648323378,"(41.687904046, -87.648323378)"
2489648,8553819,HV224799,03/30/2012 07:15:00 AM,062XX S MICHIGAN AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,311,3.0,20.0,40.0,08A,1178263.0,1863570.0,2012,02/04/2016 06:33:39 AM,41.780946398,-87.621995369,"(41.780946398, -87.621995369)"
3216150,9738354,HX388241,08/15/2014 06:35:00 AM,052XX W HARRISON ST,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,RESIDENCE,True,False,1522,15.0,29.0,25.0,18,1141445.0,1896815.0,2014,02/04/2016 06:33:39 AM,41.872932223,-87.756160326,"(41.872932223, -87.756160326)"
2706362,8893325,HV567732,11/18/2012 07:15:00 PM,007XX W 111TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARKING LOT/GARAGE(NON.RESID.),True,False,2233,22.0,34.0,49.0,18,1173158.0,1831247.0,2012,02/04/2016 06:33:39 AM,41.69236212,-87.64166361,"(41.69236212, -87.64166361)"
6076012,10572647,HZ320564,06/23/2016 12:45:00 PM,057XX S ALBANY AVE,0810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),False,False,824,8.0,14.0,63.0,06,1156696.0,1866358.0,2016,06/30/2016 03:51:05 PM,41.789059447,-87.70098948,"(41.789059447, -87.70098948)"
3129034,9592651,HX242103,04/29/2014 10:30:00 AM,076XX S CICERO AVE,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,833,8.0,13.0,65.0,06,1145727.0,1853720.0,2014,02/04/2016 06:33:39 AM,41.754592961,-87.741528537,"(41.754592961, -87.741528537)"
3399400,10137116,HY325661,07/03/2015 07:00:00 AM,055XX W VAN BUREN ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,False,1522,15.0,29.0,25.0,18,1139704.0,1897468.0,2015,08/17/2015 03:03:40 PM,41.874756088,-87.762536506,"(41.874756088, -87.762536506)"
3336488,10027980,HY217429,04/10/2015 09:20:00 PM,0000X E 59TH ST,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,True,False,232,2.0,20.0,40.0,26,1177890.0,1865919.0,2015,08/17/2015 03:03:40 PM,41.78740075,-87.623291735,"(41.78740075, -87.623291735)"
2891618,9194204,HW338662,06/28/2013 06:10:00 AM,011XX W 65TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,724,7.0,16.0,68.0,08B,1169637.0,1861691.0,2013,02/04/2016 06:33:39 AM,41.775981658,-87.653674373,"(41.775981658, -87.653674373)"
2702530,8887462,HV561633,11/13/2012 10:30:00 PM,051XX S PULASKI RD,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,CTA GARAGE / OTHER PROPERTY,False,False,815,8.0,23.0,62.0,03,1150570.0,1870231.0,2012,02/04/2016 06:33:39 AM,41.799808989,-87.723350952,"(41.799808989, -87.723350952)"
3359680,10397488,HZ133252,01/29/2016 03:17:00 PM,033XX W WALNUT ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,1123,11.0,28.0,27.0,18,1153959.0,1901425.0,2016,02/05/2016 03:49:24 PM,41.885342444,-87.710092279,"(41.885342444, -87.710092279)"
3366560,10080040,HY268728,05/20/2015 11:30:00 PM,058XX S GREEN ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,True,False,712,7.0,16.0,68.0,16,1171643.0,1865953.0,2015,08/17/2015 03:03:40 PM,41.787633336,-87.646195703,"(41.787633336, -87.646195703)"
4033138,10406577,HZ143472,02/06/2016 04:00:00 PM,049XX S LECLAIRE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,814,8.0,23.0,56.0,07,1143192.0,1871475.0,2016,02/13/2016 03:47:33 PM,41.803363213,-87.750377612,"(41.803363213, -87.750377612)"
